,bid,good
0,9791188331796.0,88.18
1,9791196831080.0,96.49
2,9791190413152.0,92.23
3,9788901243665.0,96.83
4,9791197023095.0,99.37
5,9791190382175.0,91.95
6,9791187481720.0,88.28
7,9791165210144.0,96.4
8,9788936434267.0,96.96
9,9791164135592.0,98.48
10,9788967358020.0,94.74
11,9788934992493.0,92.31
12,9788901244600.0,95.33
13,9791190456098.0,95.05
14,9788960518025.0,90.0
15,9788932920337.0,94.0
16,9788965422785.0,98.18
17,9788997780402.0,90.42
18,9791130604626.0,99.23
19,9788950988487.0,85.29
20,9788901243658.0,95.56
21,9791165211653.0,93.42
22,9791130629636.0,98.54
23,9788954672214.0,96.27
24,9791135485121.0,94.37
25,9791196797744.0,95.0
26,9791130630762.0,90.91
27,9791165382674.0,98.47
28,9791197080890.0,96.23
29,9788994702346.0,95.88
30,9788950986377.0,100.0
31,9788965423348.0,93.6
32,9791190786355.0,95.56
33,9791190492973.0,89.06
34,9791159099878.0,100.0
35,9791190908153.0,93.48
36,9791158740757.0,85.41
37,9788998075712.0,98.18
38,9791190313131.0,96.0
39,9788947544085.0,94.0
40,9788970127248.0,91.79
41,9791130631134.0,100.0
42,9791190242271.0,96.21
43,9791196893170.0,99.17
44,9791190846011.0,93.33
45,9791159036514.0,97.15
46,9791190090018.0,97.22
47,9788934972464.0,95.92
48,9788950989064.0,96.52
49,9791130627878.0,98.48
50,9788965423355.0,93.0
51,9791158511821.0,93.85
52,9788965963790.0,94.35
53,9791164452941.0,100.0
54,9791187119845.0,98.28
55,9791190299060.0,95.4
56,9791189320690.0,91.43
57,9788932474274.0,93.48
58,9791158883591.0,95.39
59,9791130630366.0,80.95
60,9791190710053.0,94.29
61,9788925536927.0,95.0
62,9791165075064.0,95.26
63,9788995563502.0,91.28
64,9791158510619.0,97.17
65,9788998274931.0,92.24
66,9791187142560.0,97.44
67,9791190908160.0,94.29
68,9788983711892.0,96.3
69,9788932920405.0,91.76
70,9788947545938.0,100.0
71,9791190908177.0,100.0
72,9791190313186.0,96.27
73,9791164062270.0,99.09
74,9788937462672.0,93.97
75,9788957821305.0,98.75
76,9791136721617.0,90.0
77,9791197023002.0,92.0
78,9791157843749.0,100.0
79,9788972756194.0,97.72
80,9788993178692.0,94.6
81,9788968331862.0,98.65
82,9788949162041.0,99.17
83,9791190786867.0,100.0
84,9791164135738.0,97.14
85,9788934985068.0,96.9
86,9791190030632.0,91.49
87,9791188102051.0,88.57
88,9791165341909.0,96.67
89,9788957821176.0,95.69
90,9788968332647.0,97.14
91,9791189995997.0,90.0
92,9788998274795.0,91.12
93,9788937473098.0,96.25
94,9791196797706.0,94.52
95,9791130630557.0,100.0
96,9791190908184.0,97.5
97,9791196764616.0,96.88
98,9788932473901.0,94.12
99,9788936477196.0,94.81
